Player,Mat,Inns,Overs,Mdns,Runs_Given,Wkts,BBI,BowlAve,Econ,Batting_Runs,HS,BattingAve,SR,4s,6s,Ct,St
Abhishek Sharma,3,0,0,0,0,0,0,0,0,63,46,63,190.9,3,5,1,0
AD Nath,1,0,0,0,0,0,0,0,0,9,9,9,69.23,1,0,1,0
MA Agarwal,11,0,0,0,0,0,0,0,0,120,30,12,127.65,9,5,2,0
KK Ahmed,1,1,3,0,38,0,0,0,12.66,0,0,0,0,0,0,0,0
MM Ali,5,5,13.1,0,97,3,41275,32.33,7.36,77,65,19.25,167.39,4,6,2,0
CJ Anderson,3,3,8.4,0,115,3,17199,38.33,13.26,17,15,5.66,77.27,0,1,0,0
Ankit Sharma,1,1,1,0,11,0,0,0,11,0,0,0,0,0,0,0,0
Anureet Singh,3,3,4,0,42,1,43831,42,10.5,3,3,0,75,0,0,1,0
JC Archer,10,10,38.5,0,325,15,44621,21.66,8.36,15,8,3,71.42,2,0,1,0
M Ashwin,2,2,7,0,53,3,13181,17.66,7.57,1,1,1,50,0,0,0,0
R Ashwin,14,14,50.4,0,410,10,43132,41,8.09,102,45,12.75,143.66,7,5,5,0
KM Asif,2,2,6,0,75,3,15738,25,12.5,0,0,0,0,0,0,0,0
Avesh Khan,6,6,19,0,204,4,47150,51,10.73,0,0,0,0,0,0,3,0
Basil Thampi,4,4,10.1,0,114,5,43192,22.8,11.21,3,3,3,50,0,0,2,0
RK Bhui,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SW Billings,10,0,0,0,0,0,0,0,0,108,56,13.5,138.46,8,5,5,0
STR Binny,7,1,2,0,33,0,0,0,16.5,44,22,8.8,112.82,2,2,1,0
TA Boult,14,14,52.4,1,466,18,43862,25.88,8.84,0,0,0,0,0,0,9,0
CR Brathwaite,4,4,10.1,0,94,5,42036,18.8,9.24,75,43,25,156.25,1,8,2,0
DJ Bravo,16,16,53.3,1,533,14,42401,38.07,9.96,141,68,35.25,154.94,8,10,9,0
JJ Bumrah,14,14,54,0,372,17,42064,21.88,6.88,10,6,10,90.9,1,0,4,0
JC Buttler,13,0,0,0,0,0,0,0,0,548,95,54.8,155.24,52,21,9,1
YS Chahal,14,14,50,1,363,12,44593,30.25,7.26,0,0,0,0,0,0,2,0
DL Chahar,12,12,38.1,1,278,10,42064,27.8,7.28,50,39,16.66,172.41,1,4,1,0
PP Chawla,15,15,49,0,412,14,17593,29.42,8.4,27,12,6.75,79.41,1,1,4,0
P Chopra,1,0,0,0,0,0,0,0,0,8,8,8,133.33,2,0,0,0
DT Christian,4,4,11.5,0,101,4,12816,25.25,8.53,26,13,13,78.78,0,1,0,0
TK Curran,5,5,10.1,0,118,6,43497,19.66,11.6,23,18,7.66,82.14,3,0,1,0
BCJ Cutting,9,7,17,0,168,2,43435,84,9.88,96,37,24,165.51,5,8,7,0
CJ Dala,1,1,3,0,34,0,0,0,11.33,0,0,0,0,0,0,0,0
A Dananjaya,1,1,4,0,47,0,0,0,11.75,4,4,0,80,0,0,0,0
C de Grandhomme,9,7,15,0,129,2,43313,64.5,8.6,131,40,26.2,155.95,4,10,3,0
Q de Kock,8,0,0,0,0,0,0,0,0,201,53,25.12,124.07,20,8,7,3
AB de Villiers,12,0,0,0,0,0,0,0,0,480,90,53.33,174.54,39,30,6,0
S Dhawan,16,0,0,0,0,0,0,0,0,497,92,38.23,136.91,59,14,12,0
MS Dhoni,16,0,0,0,0,0,0,0,0,455,79,75.83,150.66,24,30,11,3
JP Duminy,6,2,3,0,36,0,0,0,12,36,23,36,90,3,1,2,0
F du Plessis,6,0,0,0,0,0,0,0,0,162,67,32.4,125.58,17,6,1,0
AJ Finch,10,0,0,0,0,0,0,0,0,134,46,16.75,134,6,8,4,0
G Gambhir,6,0,0,0,0,0,0,0,0,85,55,17,96.59,8,1,1,0
CH Gayle,11,0,0,0,0,0,0,0,0,368,104,40.88,146.03,30,27,2,0
S Gopal,11,10,31,0,236,11,42461,21.45,7.61,50,24,16.66,111.11,5,0,3,0
SP Goswami,6,0,0,0,0,0,0,0,0,52,35,17.33,130,6,1,5,0
K Gowtham,15,15,40,0,312,11,43436,28.36,7.8,126,33,14,196.87,9,9,10,0
AD Hales,6,0,0,0,0,0,0,0,0,148,45,24.66,125.42,13,6,2,0
Harbhajan Singh,13,12,31.5,0,270,7,44593,38.57,8.48,29,19,9.66,80.55,3,1,4,0
DJ Hooda,9,2,3,0,24,0,0,0,8,87,32,21.75,107.4,2,3,3,0
Imran Tahir,6,6,20.4,0,188,6,12451,31.33,9.09,2,2,0,100,0,0,2,0
